iter	Logloss
221	0.339726475
222	0.3396960773
223	0.3396811492
224	0.3396613244
225	0.3396473398
226	0.3396300274
227	0.3396061049
228	0.3395939905
229	0.3395776996
230	0.3395674751
231	0.3395532193
232	0.3395231157
233	0.3395114202
234	0.339487797
235	0.3394719589
236	0.3394594479
237	0.3394282721
238	0.3394221234
239	0.3394049122
240	0.3393823362
241	0.3393696788
242	0.3393333473
243	0.3393229638
244	0.3393046172
245	0.3392865392
246	0.3392737758
247	0.3392625294
248	0.3392536772
249	0.3392410602
250	0.3392361446
251	0.3392203091
252	0.3392161363
253	0.3392103682
254	0.3391979884
255	0.339175903
256	0.3391596578
257	0.3391527092
258	0.3391465612
259	0.3391416303
260	0.3391346885
261	0.3391257913
262	0.3391025819
263	0.3390915953
264	0.3390758419
265	0.3390716747
266	0.3390581118
267	0.3390251487
268	0.3390013141
269	0.3389911802
270	0.3389724787
271	0.3389570631
272	0.3389527486
273	0.3389406535
274	0.3389285097
275	0.3389150631
276	0.3389073781
277	0.3388941522
278	0.3388811736
279	0.3388469034
280	0.3388359615
281	0.3388151668
282	0.3388102954
283	0.3387915467
284	0.3387822666
285	0.3387566355
286	0.3387420683
287	0.3387039576
288	0.3386909889
289	0.3386768063
290	0.3386630653
291	0.3386562149
292	0.3386448328
293	0.3386031688
294	0.3385806095
295	0.3385572354
296	0.3385352247
297	0.3385182499
298	0.3385001679
299	0.338493701
300	0.3384818293
301	0.3384635082
302	0.3384550816
303	0.3384327271
304	0.3384293946
305	0.3384123626
306	0.3384027542
307	0.3383776903
308	0.3383621188
309	0.3383534721
310	0.3383338847
311	0.3383185479
312	0.3382992341
313	0.3382886738
314	0.3382601225
315	0.3382407712
316	0.338237337
317	0.3382187019
318	0.3382023944
319	0.3381794441
320	0.3381650056
321	0.3381531227
322	0.3381470464
323	0.3381401927
324	0.3381180836
325	0.3381147698
326	0.3380852757
327	0.3380763984
328	0.3380615844
329	0.3380557826
330	0.3380511179
331	0.3380347538
332	0.3380072186
333	0.3379803963
334	0.3379619285
335	0.3379453902
336	0.3379261693
337	0.3379120222
338	0.3378952764
339	0.3378808969
340	0.3378523702
341	0.3378409795
342	0.3378041595
343	0.3377807373
344	0.3377668852
345	0.3377617171
346	0.3377495135
347	0.3377374366
348	0.337727222
349	0.3377049324
350	0.3376818708
351	0.3376644535
352	0.337654054
353	0.3376343132
354	0.3376205143
355	0.337611414
356	0.3375959095
357	0.3375867527
358	0.3375754049
359	0.3375602427
360	0.3375441734
361	0.3375273941
362	0.3375175084
363	0.3374960919
364	0.3374754299
365	0.3374464009
366	0.3374340689
367	0.337422911
368	0.3374204386
369	0.3374033398
370	0.3373889807
371	0.3373474018
372	0.3373442087
373	0.3373291136
374	0.3373268077
375	0.3373162814
376	0.3373155359
377	0.337312667
378	0.3372948758
379	0.3372785907
380	0.3372638256
381	0.3372414575
382	0.3372214749
383	0.3372091358
384	0.3371888109
385	0.3371648822
386	0.337154179
387	0.3371368814
388	0.3371298955
389	0.3371147986
390	0.3370986724
391	0.3370895416
392	0.3370686133
393	0.3370618083
394	0.3370510091
395	0.3370412623
396	0.3370375997
397	0.3370238295
398	0.337015866
399	0.3370032768
400	0.3369908411
401	0.3369796764
402	0.3369632609
403	0.3369489046
404	0.3369364182
405	0.3369105965
406	0.3368798491
407	0.3368578519
408	0.3368391883
409	0.3368283752
410	0.3368244432
411	0.3368087882
412	0.336801592
413	0.3367867412
414	0.3367828113
415	0.3367757667
416	0.3367654242
417	0.3367554076
418	0.3367221081
419	0.3367116006
420	0.3367059215
421	0.3366820676
422	0.3366728261
423	0.3366500409
424	0.3366289609
425	0.3366133736
426	0.3365929955
427	0.3365805329
428	0.3365634453
429	0.3365488969
430	0.3365251651
431	0.3365092181
432	0.3364965497
433	0.3364756145
434	0.3364597462
435	0.336443966
436	0.3364373561
437	0.3364209941
438	0.3363909911
439	0.3363743647
440	0.3363452407
441	0.3363328514
442	0.3363254147
443	0.3363201062
444	0.3363045591
445	0.3362972245
446	0.3362786395
447	0.3362665632
448	0.3362627304
449	0.3362335922
450	0.3362289282
451	0.336218625
452	0.3362009479
453	0.3361973976
454	0.3361960197
455	0.3361813107
456	0.3361674075
457	0.3361650242
458	0.3361407253
459	0.3361141212
460	0.3361064418
461	0.3361052134
462	0.3360867083
463	0.3360680744
464	0.3360615868
465	0.3360490395
466	0.3360310596
467	0.336019892
468	0.3360016958
469	0.3359910869
470	0.3359805207
471	0.3359580196
472	0.3359400514
473	0.335922023
474	0.3359078241
475	0.3358991204
476	0.335884685
477	0.3358754856
478	0.3358625227
479	0.3358561894
480	0.3358485293
481	0.3358394873
482	0.3358214248
483	0.3357996316
484	0.3357891406
485	0.3357762091
486	0.3357627132
487	0.3357511865
488	0.3357325417
489	0.3357241547
490	0.3357198095
491	0.3357160645
492	0.3356939603
493	0.3356715133
494	0.3356539693
495	0.3356462026
496	0.3356244161
497	0.3356110503
498	0.3355911546
499	0.3355822554
500	0.3355656493
501	0.3355487028
502	0.3355402312
503	0.3355256028
504	0.3355196223
505	0.3355104259
506	0.3355008857
507	0.3354943552
508	0.3354843229
509	0.3354750304
510	0.3354730401
511	0.3354614394
512	0.3354421144
513	0.3354259679
514	0.3353963225
515	0.3353773921
516	0.3353517253
517	0.3353306239
518	0.3353140013
519	0.3352879587
520	0.3352744195
521	0.3352659253
522	0.335244159
523	0.3352398509
524	0.3352366973
525	0.3352152844
526	0.335204445
527	0.3351971808
528	0.3351879597
529	0.3351785893
530	0.3351581543
531	0.3351434911
532	0.3351294996
533	0.3351189167
534	0.3351135948
535	0.3350950888
536	0.3350941504
537	0.3350755872
538	0.3350685207
539	0.3350529682
540	0.3350310746
541	0.3350199062
542	0.3350009909
543	0.3349791744
544	0.3349662172
545	0.3349523483
546	0.3349368576
547	0.3349232132
548	0.3349179629
549	0.3349068488
550	0.3348892948
551	0.3348858041
552	0.334861042
553	0.3348522419
554	0.3348429161
555	0.334834365
556	0.3348269178
557	0.3348213985
558	0.3347924249
559	0.3347710488
560	0.334753516
561	0.334740793
562	0.3347216067
563	0.3347141496
564	0.334683091
565	0.334671371
566	0.3346632307
567	0.3346551423
568	0.3346349646
569	0.3346238616
570	0.334614154
571	0.3346046346
572	0.3345899005
573	0.3345754674
574	0.334572595
575	0.3345576727
576	0.3345224623
577	0.3345152669
578	0.3344919438
579	0.3344807185
580	0.3344675762
581	0.334452391
582	0.3344414258
583	0.3344258273
584	0.334416989
585	0.3344111229
586	0.3343980978
587	0.33438119
588	0.3343665579
589	0.3343552326
590	0.3343378617
591	0.3343262441
592	0.3343103269
593	0.3342926559
594	0.3342740751
595	0.334268487
596	0.3342490306
597	0.3342350564
598	0.3342271958
599	0.3342169193
600	0.3342122795
601	0.3341939226
602	0.3341878385
603	0.3341767062
604	0.3341579553
605	0.3341418912
606	0.3341353477
607	0.3341202346
608	0.3341054273
609	0.3340929776
610	0.3340915219
611	0.3340845019
612	0.3340764358
613	0.3340675021
614	0.3340582989
615	0.3340540777
616	0.3340513522
617	0.3340329668
618	0.3340227198
619	0.3340104965
620	0.3339788714
621	0.3339624529
622	0.3339473531
623	0.3339257779
624	0.3339196657
625	0.3339076948
626	0.3338845166
627	0.3338771583
628	0.3338615465
629	0.3338516725
630	0.3338473567
631	0.3338369559
632	0.3338256727
633	0.3338119684
634	0.3338027339
635	0.3337796164
636	0.3337624837
637	0.3337552614
638	0.3337419512
639	0.3337209925
640	0.3337094663
641	0.3336986978
642	0.3336912501
643	0.3336793959
644	0.3336597378
645	0.3336414203
646	0.3336282711
647	0.3336251927
648	0.333615197
649	0.3336091186
650	0.3335858777
651	0.3335776309
652	0.3335727312
653	0.3335677644
654	0.3335537159
655	0.3335515297
656	0.333534072
657	0.3335202239
658	0.3335025572
659	0.3334794525
660	0.3334661191
661	0.3334560166
662	0.3334416062
663	0.3334329166
664	0.3334295624
665	0.3334237007
666	0.3334227963
667	0.3334123708
668	0.3333963304
669	0.333379891
670	0.3333706964
671	0.3333500445
672	0.3333393563
673	0.3333151245
674	0.3333015247
675	0.3332814413
676	0.3332606337
677	0.3332574668
678	0.3332546404
679	0.333243148
680	0.3332332609
681	0.3332180409
682	0.3332028858
683	0.3331834917
684	0.3331821753
685	0.3331628472
686	0.333153532
687	0.3331474186
688	0.3331435866
689	0.3331373303
690	0.333121107
691	0.3331062265
692	0.3330958616
693	0.3330786062
694	0.3330529613
695	0.3330469929
696	0.3330315531
697	0.3330288784
698	0.3330023268
699	0.3329806383
700	0.3329562245
701	0.3329511134
702	0.3329382229
703	0.332924524
704	0.3329035677
705	0.3328801095
706	0.3328722099
707	0.3328598349
708	0.3328450931
709	0.3328361781
710	0.3328229206
711	0.3328082732
712	0.3327972217
713	0.3327744704
714	0.3327616146
715	0.3327545881
716	0.3327342121
717	0.3327172028
718	0.3327041129
719	0.3326813782
720	0.3326801484
721	0.332672383
722	0.3326543699
723	0.3326467344
724	0.3326322883
725	0.3326089017
726	0.3326077236
727	0.3325982362
728	0.3325847542
729	0.3325795816
730	0.3325583805
731	0.3325409547
732	0.3325341168
733	0.3325256842
734	0.3325135778
735	0.3324995405
736	0.3324940958
737	0.3324801147
738	0.3324503429
739	0.3324438512
740	0.3324268707
741	0.3324226339
742	0.3324100271
743	0.3323973674
744	0.3323814606
745	0.3323721615
746	0.3323594467
747	0.3323543436
748	0.3323365796
749	0.3323232671
750	0.3323143734
751	0.3323047229
752	0.3322950167
753	0.3322786631
754	0.332262612
755	0.3322582517
756	0.3322360592
757	0.3322276359
758	0.3322252843
759	0.3322167173
760	0.3322064992
761	0.3321953562
762	0.3321734025
763	0.3321592974
764	0.3321465182
765	0.3321262475
766	0.3321115269
767	0.3321057262
768	0.3320872512
769	0.3320821677
770	0.3320695531
771	0.332051589
772	0.3320229268
773	0.3320185666
774	0.3320026401
775	0.3319773143
776	0.3319701548
777	0.3319677824
778	0.3319607939
779	0.3319555776
780	0.331947465
781	0.3319296794
782	0.331922442
783	0.3319168787
784	0.3319068319
785	0.3319060969
786	0.3319014327
787	0.3318900086
788	0.3318780508
789	0.3318708513
790	0.3318628496
791	0.3318504127
792	0.3318369552
793	0.3318312171
794	0.3318234691
795	0.3318144416
796	0.3318059292
797	0.3317897176
798	0.3317877656
799	0.3317865548
800	0.3317749575
801	0.3317616321
802	0.3317521709
803	0.3317354139
804	0.3317226272
805	0.3317121713
806	0.3316970072
807	0.3316850723
808	0.331675129
809	0.3316657707
810	0.3316552635
811	0.3316472641
812	0.3316400473
813	0.3316287885
814	0.3316135976
815	0.3315935912
816	0.3315811232
817	0.3315676397
818	0.3315604186
819	0.3315514297
820	0.3315432315
821	0.3315352167
822	0.3315164401
823	0.3315140987
824	0.3314955196
825	0.3314814117
826	0.3314688514
827	0.3314646569
828	0.3314617102
829	0.3314541272
830	0.331438178
831	0.3314304106
832	0.3314215636
833	0.3314163966
834	0.331414672
835	0.3314049488
836	0.3314003498
837	0.3313856167
838	0.3313798018
839	0.3313545766
840	0.3313364027
841	0.3313247182
842	0.3313134683
843	0.3313060069
844	0.331293302
845	0.3312871372
846	0.3312762595
847	0.3312590104
848	0.3312540988
849	0.3312390111
850	0.3312082684
851	0.3311942869
852	0.3311850892
853	0.3311828179
854	0.3311780197
855	0.3311771692
856	0.3311686432
857	0.3311619362
858	0.3311492067
859	0.3311322237
860	0.331121931
861	0.3311173763
862	0.3310998746
863	0.3310840455
864	0.3310748878
865	0.3310532312
866	0.3310430383
867	0.3310320439
868	0.3310254936
869	0.3310221589
870	0.3310111757
871	0.3310008386
872	0.3309929209
873	0.3309897642
874	0.3309796188
875	0.3309595808
876	0.3309423575
877	0.3309321466
878	0.3309195295
879	0.3309092905
880	0.3308959998
881	0.3308721451
882	0.3308665024
883	0.3308612721
884	0.3308558746
885	0.3308516093
886	0.3308368844
887	0.3308206496
888	0.3308052288
889	0.3307885421
890	0.3307781754
891	0.3307662062
892	0.3307561694
893	0.33074117
894	0.3307283072
895	0.3307168843
896	0.3307071911
897	0.3306943293
898	0.3306747519
899	0.3306505917
900	0.330637079
901	0.3306243239
902	0.3306121895
903	0.3306064809
904	0.3306023015
905	0.3305965359
906	0.3305939337
907	0.3305845321
908	0.3305688389
909	0.330557336
910	0.3305442281
911	0.3305429555
912	0.3305356217
913	0.3305190463
914	0.330513182
915	0.3304968196
916	0.3304806713
917	0.3304659918
918	0.3304513732
919	0.3304468681
920	0.3304385726
921	0.330430609
922	0.330423883
923	0.3304187719
924	0.3304102637
925	0.3304040327
926	0.330391463
927	0.3303846112
928	0.3303707457
929	0.3303614482
930	0.3303532105
931	0.3303401572
932	0.3303373686
933	0.330327034
934	0.3303100449
935	0.3302932791
936	0.3302732773
937	0.3302663193
938	0.3302500157
939	0.3302462188
940	0.3302437419
941	0.3302356283
942	0.3302332238
943	0.3302276012
944	0.3302198865
945	0.3302051094
946	0.330198261
947	0.3301712058
948	0.3301606529
949	0.3301447024
950	0.3301255056
951	0.3301056534
952	0.3300928962
953	0.3300886153
954	0.3300759893
955	0.3300460569
956	0.3300337741
957	0.3300178287
958	0.3300161782
959	0.3300141352
960	0.3300063932
961	0.3299972097
962	0.329984032
963	0.3299795321
964	0.3299757379
965	0.3299584184
966	0.3299507177
967	0.3299377188
968	0.3299310916
969	0.3299190444
970	0.329901921
971	0.3298945698
972	0.3298740836
973	0.3298709435
974	0.3298634106
975	0.3298624279
976	0.3298507246
977	0.3298342432
978	0.3298229815
979	0.329811039
980	0.3298042212
981	0.3297792973
982	0.3297715498
983	0.3297526984
984	0.3297400644
985	0.3297294077
986	0.3297263952
987	0.3297165709
988	0.3296967607
989	0.3296842823
990	0.3296756964
991	0.32966746
992	0.3296597818
993	0.329647715
994	0.3296367978
995	0.3296251841
996	0.3296103607
997	0.3295990941
998	0.3295800075
999	0.329573157
